,Gamma,input_graph,Network_type,Connection_prob,Layers,Dtandard_dev,Top_homogeneity,Top_completeness,Top_NMI,Middle_homogeneity,Middle_Completeness,Middle_NMI,Resolution_top,Resolution_middle,Louvain_modularity,Louvain_homogenity_top,Louvain_completeness_top,Louvain_NMI_top,Louvain_homogenity_middle,Louvain_completeness_middle,Louvain_NMI_middle,Comms_predicted_top,Comms_predicted_middle,Louvain_predicted,Modularity_top,Modularity_middle,True_mod_top,True_mod_middle,True_aeb_top,True_aeb_middle,True_aew_top,True_aew_middle
10,0.5,A_ingraph02,scale free,disc,3,0.1,0.5517,0.5811,0.5661,0.4458,0.9862,0.614,5,100,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,9,18,10,0.4007,-0.5706,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0.5,A_ingraph02,scale free,disc,3,0.5,0.5485,0.5791,0.5634,0.445,0.988,0.6136,5,100,0.8904,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,9,19,10,0.3909,-0.5592,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0.5,A_ingraph02,scale free,full,2,0.1,0.0,1.0,0.0,NA,NA,NA,5,100,0.0,0.0,1.0,0.0,NA,NA,NA,1,NA,1,-9.9,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0.5,A_ingraph02,scale free,full,2,0.5,0.0,1.0,0.0,NA,NA,NA,5,100,0.0,0.0,1.0,0.0,NA,NA,NA,2,NA,1,-9.9,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0.5,A_ingraph02,scale free,full,3,0.1,0.0,1.0,0.0,0.0,1.0,0.0,5,100,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,-2.1713,-0.8692,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0.5,A_ingraph02,scale free,full,3,0.5,0.0,1.0,0.0,0.0164,0.9465,0.0323,5,100,0.0008,0.0454,0.1332,0.0677,0.0638,0.4177,0.1107,1,4,5,-1.7641,-0.8383,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0.5,A_ingraph02,random graph,disc,2,0.1,0.607,0.597,0.602,NA,NA,NA,5,100,0.9212,1.0,0.6949,0.82,NA,NA,NA,10,NA,29,-9.0716,NA,0.8834915997078159,,0.0,,7.4,
17,0.5,A_ingraph02,random graph,disc,2,0.5,0.5755,0.5649,0.5702,NA,NA,NA,5,100,0.9183,1.0,0.7034,0.8258,NA,NA,NA,10,NA,29,-9.1062,NA,0.8834915997078159,,0.0,,7.4,
18,0.5,A_ingraph02,random graph,disc,3,0.1,0.1414,0.1406,0.141,0.7441,0.7721,0.7578,5,100,0.9575,0.8394,0.4075,0.5486,0.8409,0.8273,0.834,10,95,177,0.4574,-0.4383,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0.5,A_ingraph02,random graph,disc,3,0.5,0.1344,0.1333,0.1338,0.743,0.7715,0.757,5,100,0.9571,0.8392,0.4041,0.5455,0.8507,0.8301,0.8403,10,93,177,0.4299,-0.4921,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0.5,A_ingraph02,random graph,full,2,0.1,0.3659,0.4744,0.4132,NA,NA,NA,5,100,0.1384,0.6051,0.5882,0.5965,NA,NA,NA,9,NA,20,-9.8396,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0.5,A_ingraph02,random graph,full,2,0.5,0.4413,0.4823,0.4609,NA,NA,NA,5,100,0.1544,0.6465,0.6104,0.6279,NA,NA,NA,10,NA,20,-9.8323,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0.5,A_ingraph02,random graph,full,3,0.1,0.1071,0.11,0.1086,0.595,0.7069,0.6462,5,100,0.2905,0.759,0.3868,0.5125,0.7759,0.8015,0.7885,10,81,181,-0.3553,-0.9614,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0.5,A_ingraph02,random graph,full,3,0.5,0.1015,0.1019,0.1017,0.6122,0.7169,0.6605,5,100,0.5081,0.7757,0.3834,0.5132,0.8131,0.8146,0.8139,10,78,180,-0.2365,-0.8953,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0,A_ingraph02,small world,disc,2,0.1,0.9564,1.0,0.9777,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2498,NA,0.8963220116344528,,0.0,,29.2,
1,0,A_ingraph02,small world,disc,2,0.5,1.0,1.0,1.0,NA,NA,NA,5,100,0.8854,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.2261,NA,0.8963220116344528,,0.0,,29.2,
2,0,A_ingraph02,small world,disc,3,0.1,0.5807,0.6169,0.5983,0.5393,0.8937,0.6727,5,100,0.8899,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,9,46,11,0.3659,-0.6547,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0,A_ingraph02,small world,disc,3,0.5,0.6141,0.6514,0.6322,0.4708,0.973,0.6345,5,100,0.889,0.6417,0.6409,0.6413,0.4589,0.9881,0.6267,9,49,11,0.4195,-0.6493,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0,A_ingraph02,small world,full,2,0.1,0.2631,0.3818,0.3115,NA,NA,NA,5,100,0.0206,0.1367,0.2869,0.1852,NA,NA,NA,7,NA,3,-9.9,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0,A_ingraph02,small world,full,2,0.5,0.2674,0.3646,0.3086,NA,NA,NA,5,100,0.01,0.0598,0.1981,0.0919,NA,NA,NA,8,NA,2,-9.9,NA,0.6675357314415801,,0.9666666666666668,,29.2,
0,1,A_ingraph05,small world,disc,2,0.1,0.6853,1.0,0.8133,NA,NA,NA,1,1,0.8867,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.7302,NA,0.8963220116344528,,0.0,,29.2,
1,1,A_ingraph05,small world,disc,2,0.5,0.8098,1.0,0.8949,NA,NA,NA,1,1,0.8884,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8252,NA,0.8963220116344528,,0.0,,29.2,
2,1,A_ingraph05,small world,disc,3,0.1,0.3872,0.5349,0.4492,0.4887,0.9694,0.6498,1,1,0.8828,0.6764,0.6242,0.6492,0.4946,0.9841,0.6584,8,13,18,0.7771,0.8784,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,1,A_ingraph05,small world,disc,3,0.5,0.3804,0.5204,0.4395,0.4699,0.985,0.6362,1,1,0.8823,0.6766,0.6231,0.6488,0.4953,0.9835,0.6588,6,15,19,0.8099,0.8754,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,1,A_ingraph05,small world,full,2,0.1,0.4548,0.9101,0.6065,NA,NA,NA,1,1,0.4862,0.9137,0.9565,0.9346,NA,NA,NA,4,NA,9,0.3671,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,1,A_ingraph05,small world,full,2,0.5,0.5128,0.9264,0.6602,NA,NA,NA,1,1,0.4275,0.9319,0.9758,0.9533,NA,NA,NA,5,NA,9,0.3481,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,1,A_ingraph05,small world,full,3,0.1,0.2096,0.5373,0.3016,0.4178,0.9723,0.5845,1,1,0.8153,0.5714,0.5691,0.5702,0.4569,0.9812,0.6235,4,10,13,0.3634,0.7928,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,1,A_ingraph05,small world,full,3,0.5,0.3178,0.5947,0.4142,0.3634,0.9778,0.5298,1,1,0.8481,0.5877,0.5795,0.5836,0.46,0.9779,0.6256,5,8,13,0.6733,0.8203,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,1,A_ingraph05,scale free,disc,2,0.1,0.6518,1.0,0.7892,NA,NA,NA,1,1,0.8856,1.0,1.0,1.0,NA,NA,NA,5,NA,10,0.7302,NA,0.8888703553118391,,0.0,,65.7,
9,1,A_ingraph05,scale free,disc,2,0.5,0.8944,1.0,0.9443,NA,NA,NA,1,1,0.8865,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8683,NA,0.8888703553118391,,0.0,,65.7,
10,1,A_ingraph05,scale free,disc,3,0.1,0.3491,0.5534,0.4281,0.463,0.9871,0.6304,1,1,0.8849,0.6047,0.5982,0.6014,0.4488,0.9901,0.6176,5,10,11,0.6793,0.8854,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,1,A_ingraph05,scale free,disc,3,0.5,0.2041,0.3814,0.2659,0.3897,0.9893,0.5592,1,1,0.8916,0.6023,0.6023,0.6023,0.4442,0.9906,0.6134,4,8,10,0.6718,0.855,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,1,A_ingraph05,scale free,full,2,0.1,0.1015,0.919,0.1828,NA,NA,NA,1,1,0.0658,0.3611,0.6506,0.4644,NA,NA,NA,2,NA,4,0.0138,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,1,A_ingraph05,scale free,full,2,0.5,0.2084,0.7343,0.3247,NA,NA,NA,1,1,0.1343,0.5917,0.7987,0.6798,NA,NA,NA,2,NA,6,0.0928,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,1,A_ingraph05,scale free,full,3,0.1,0.0,1.0,0.0,0.0933,0.8849,0.1687,1,1,0.3302,0.4649,0.5313,0.4959,0.3683,0.9387,0.5291,1,2,8,0.0,0.1677,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,1,A_ingraph05,scale free,full,3,0.5,0.2128,0.6434,0.3199,0.1425,0.9506,0.2479,1,1,0.5044,0.4971,0.5466,0.5207,0.3864,0.9476,0.5489,3,6,11,0.3243,0.3244,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,1,A_ingraph05,random graph,disc,2,0.1,0.4151,0.4226,0.4188,NA,NA,NA,1,1,0.9501,1.0,0.5903,0.7423,NA,NA,NA,10,NA,51,0.8736,NA,0.8834915997078159,,0.0,,7.4,
17,1,A_ingraph05,random graph,disc,2,0.5,0.4178,0.4226,0.4202,NA,NA,NA,1,1,0.9481,1.0,0.5885,0.7409,NA,NA,NA,10,NA,52,0.8807,NA,0.8834915997078159,,0.0,,7.4,
18,1,A_ingraph05,random graph,disc,3,0.1,0.0529,0.0891,0.0664,0.5758,0.6495,0.6104,1,1,0.9833,0.9305,0.3609,0.5201,0.9459,0.7436,0.8326,8,59,434,0.6673,0.9544,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,1,A_ingraph05,random graph,disc,3,0.5,0.047,0.0664,0.055,0.5364,0.6347,0.5814,1,1,0.9815,0.9318,0.3612,0.5206,0.9462,0.7435,0.8326,8,48,437,0.7337,0.9507,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,1,A_ingraph05,random graph,full,2,0.1,0.3417,0.3939,0.366,NA,NA,NA,1,1,0.1781,0.7697,0.524,0.6235,NA,NA,NA,10,NA,42,0.2522,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,1,A_ingraph05,random graph,full,2,0.5,0.3291,0.3884,0.3563,NA,NA,NA,1,1,0.1969,0.7746,0.5309,0.63,NA,NA,NA,10,NA,41,0.2741,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,1,A_ingraph05,random graph,full,3,0.1,0.0124,0.0685,0.021,0.5593,0.639,0.5965,1,1,0.5433,0.8604,0.3454,0.4929,0.8998,0.7321,0.8073,2,65,421,0.4781,0.565,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,1,A_ingraph05,random graph,full,3,0.5,0.0392,0.1132,0.0583,0.558,0.6424,0.5972,1,1,0.7529,0.8881,0.3522,0.5043,0.9196,0.7391,0.8195,5,51,426,0.5751,0.7629,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0.5,A_ingraph05,small world,disc,2,0.1,0.8813,1.0,0.9369,NA,NA,NA,1,1,0.8867,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8513,NA,0.8963220116344528,,0.0,,29.2,
1,0.5,A_ingraph05,small world,disc,2,0.5,0.7598,1.0,0.8635,NA,NA,NA,1,1,0.8884,1.0,1.0,1.0,NA,NA,NA,6,NA,10,0.8102,NA,0.8963220116344528,,0.0,,29.2,
2,0.5,A_ingraph05,small world,disc,3,0.1,0.2554,0.4533,0.3267,0.4644,0.9875,0.6317,1,1,0.8828,0.6764,0.6242,0.6492,0.4946,0.9841,0.6584,4,13,18,0.6581,0.8812,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0.5,A_ingraph05,small world,disc,3,0.5,0.4358,0.5841,0.4992,0.4634,0.9875,0.6308,1,1,0.8823,0.6766,0.6231,0.6488,0.4953,0.9835,0.6588,7,12,19,0.7272,0.8797,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0.5,A_ingraph05,small world,full,2,0.1,0.5775,0.9633,0.7221,NA,NA,NA,1,1,0.4862,0.9137,0.9565,0.9346,NA,NA,NA,5,NA,9,0.4059,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0.5,A_ingraph05,small world,full,2,0.5,0.3566,0.9415,0.5173,NA,NA,NA,1,1,0.4275,0.9319,0.9758,0.9533,NA,NA,NA,3,NA,9,0.2897,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0.5,A_ingraph05,small world,full,3,0.1,0.2844,0.4475,0.3477,0.3786,0.9674,0.5442,1,1,0.8125,0.5811,0.5552,0.5678,0.4753,0.979,0.6399,4,9,14,0.6509,0.733,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0.5,A_ingraph05,small world,full,3,0.5,0.1284,0.3134,0.1822,0.4809,0.9465,0.6378,1,1,0.8481,0.5877,0.5795,0.5836,0.46,0.9779,0.6256,3,12,13,0.5898,0.8304,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0.5,A_ingraph05,scale free,disc,2,0.1,0.8788,1.0,0.9355,NA,NA,NA,1,1,0.8856,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.846,NA,0.8888703553118391,,0.0,,65.7,
9,0.5,A_ingraph05,scale free,disc,2,0.5,0.9452,1.0,0.9718,NA,NA,NA,1,1,0.8865,1.0,1.0,1.0,NA,NA,NA,9,NA,10,0.8709,NA,0.8888703553118391,,0.0,,65.7,
10,0.5,A_ingraph05,scale free,disc,3,0.1,0.2989,0.4645,0.3637,0.4214,0.9901,0.5912,1,1,0.8852,0.6088,0.5894,0.5989,0.4586,0.9903,0.6269,5,9,13,0.7425,0.8728,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0.5,A_ingraph05,scale free,disc,3,0.5,0.1557,0.4263,0.2281,0.4174,0.99,0.5872,1,1,0.8916,0.6067,0.599,0.6028,0.45,0.9908,0.6189,3,9,11,0.6482,0.8815,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0.5,A_ingraph05,scale free,full,2,0.1,0.1169,1.0,0.2093,NA,NA,NA,1,1,0.0663,0.3526,0.6226,0.4502,NA,NA,NA,2,NA,4,0.014,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0.5,A_ingraph05,scale free,full,2,0.5,0.1839,0.6479,0.2864,NA,NA,NA,1,1,0.1372,0.5494,0.7408,0.6309,NA,NA,NA,2,NA,6,0.0831,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0.5,A_ingraph05,scale free,full,3,0.1,0.0,1.0,0.0,0.1274,0.6871,0.215,1,1,0.3301,0.4591,0.5257,0.4901,0.3669,0.9368,0.5273,3,3,8,0.2508,0.2507,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0.5,A_ingraph05,scale free,full,3,0.5,0.2185,0.6563,0.3278,0.1414,0.9475,0.2461,1,1,0.5047,0.4998,0.5492,0.5233,0.387,0.9484,0.5497,5,5,11,0.3234,0.3235,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0.5,A_ingraph05,random graph,disc,2,0.1,0.4462,0.4698,0.4577,NA,NA,NA,1,1,0.9501,1.0,0.5903,0.7423,NA,NA,NA,9,NA,51,0.8687,NA,0.8834915997078159,,0.0,,7.4,
17,0.5,A_ingraph05,random graph,disc,2,0.5,0.4151,0.4122,0.4136,NA,NA,NA,1,1,0.9481,1.0,0.5885,0.7409,NA,NA,NA,10,NA,52,0.8839,NA,0.8834915997078159,,0.0,,7.4,
18,0.5,A_ingraph05,random graph,disc,3,0.1,0.045,0.0558,0.0498,0.5388,0.6331,0.5822,1,1,0.9833,0.9305,0.3609,0.5201,0.9459,0.7436,0.8326,8,57,434,0.7912,0.9436,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0.5,A_ingraph05,random graph,disc,3,0.5,0.059,0.0856,0.0699,0.5398,0.639,0.5852,1,1,0.9815,0.9318,0.3612,0.5206,0.9462,0.7435,0.8326,7,46,437,0.7455,0.9522,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0.5,A_ingraph05,random graph,full,2,0.1,0.296,0.3405,0.3167,NA,NA,NA,1,1,0.1781,0.7697,0.524,0.6235,NA,NA,NA,9,NA,42,0.2524,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0.5,A_ingraph05,random graph,full,2,0.5,0.3127,0.3621,0.3356,NA,NA,NA,1,1,0.197,0.7103,0.5048,0.5901,NA,NA,NA,9,NA,40,0.2808,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0.5,A_ingraph05,random graph,full,3,0.1,0.0123,0.0676,0.0209,0.5631,0.6349,0.5968,1,1,0.5507,0.8562,0.3444,0.4912,0.9,0.7337,0.8084,2,65,420,0.4785,0.5587,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0.5,A_ingraph05,random graph,full,3,0.5,0.0131,0.0337,0.0188,0.5526,0.6407,0.5934,1,1,0.7529,0.8881,0.3522,0.5043,0.9196,0.7391,0.8195,3,58,426,0.6191,0.7848,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,0,A_ingraph05,small world,disc,2,0.1,0.7925,1.0,0.8842,NA,NA,NA,1,1,0.8867,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.7926,NA,0.8963220116344528,,0.0,,29.2,
1,0,A_ingraph05,small world,disc,2,0.5,0.8031,1.0,0.8908,NA,NA,NA,1,1,0.8884,1.0,1.0,1.0,NA,NA,NA,7,NA,10,0.8219,NA,0.8963220116344528,,0.0,,29.2,
2,0,A_ingraph05,small world,disc,3,0.1,0.3384,0.5794,0.4272,0.4739,0.9851,0.64,1,1,0.8828,0.6764,0.6242,0.6492,0.4946,0.9841,0.6584,4,15,18,0.7117,0.8815,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,0,A_ingraph05,small world,disc,3,0.5,0.3295,0.5035,0.3983,0.4634,0.9875,0.6308,1,1,0.8823,0.6766,0.6231,0.6488,0.4953,0.9835,0.6588,6,12,19,0.774,0.8811,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,0,A_ingraph05,small world,full,2,0.1,0.3689,1.0,0.539,NA,NA,NA,1,1,0.4856,0.8401,0.9528,0.8929,NA,NA,NA,3,NA,8,0.3074,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,0,A_ingraph05,small world,full,2,0.5,0.5428,0.9611,0.6938,NA,NA,NA,1,1,0.4275,0.9319,0.9758,0.9533,NA,NA,NA,4,NA,9,0.3776,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,0,A_ingraph05,small world,full,3,0.1,0.1009,0.3332,0.1549,0.4195,0.9702,0.5857,1,1,0.8137,0.5918,0.5625,0.5768,0.478,0.9795,0.6425,2,9,14,0.5343,0.8025,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,0,A_ingraph05,small world,full,3,0.5,0.2541,0.6116,0.3591,0.3206,0.9596,0.4806,1,1,0.8491,0.5825,0.5773,0.5799,0.4586,0.98,0.6248,4,7,13,0.6442,0.7454,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,0,A_ingraph05,scale free,disc,2,0.1,0.8785,1.0,0.9353,NA,NA,NA,1,1,0.8856,1.0,1.0,1.0,NA,NA,NA,8,NA,10,0.8426,NA,0.8888703553118391,,0.0,,65.7,
9,0,A_ingraph05,scale free,disc,2,0.5,0.9367,1.0,0.9673,NA,NA,NA,1,1,0.8865,1.0,1.0,1.0,NA,NA,NA,9,NA,10,0.8626,NA,0.8888703553118391,,0.0,,65.7,
10,0,A_ingraph05,scale free,disc,3,0.1,0.3519,0.4695,0.4023,0.4442,0.9906,0.6134,1,1,0.8849,0.6047,0.5982,0.6014,0.4488,0.9901,0.6176,6,10,11,0.8027,0.885,0.8946683183001,0.5349573944306312,0.0,0.1375739644970414,852.4,27.325443786982248
11,0,A_ingraph05,scale free,disc,3,0.5,0.2841,0.5846,0.3824,0.4442,0.9906,0.6134,1,1,0.8916,0.6067,0.599,0.6028,0.45,0.9908,0.6189,4,10,11,0.6111,0.8916,0.8946604127223766,0.5305541543961698,0.0,0.1399690053536207,859.0,27.31360946745562
12,0,A_ingraph05,scale free,full,2,0.1,0.1104,0.784,0.1935,NA,NA,NA,1,1,0.0665,0.3582,0.6551,0.4632,NA,NA,NA,2,NA,4,0.0128,NA,0.7091084336602002,,1.6222222222222222,,65.7,
13,0,A_ingraph05,scale free,full,2,0.5,0.1015,0.919,0.1828,NA,NA,NA,1,1,0.1356,0.5514,0.7441,0.6334,NA,NA,NA,2,NA,6,0.0862,NA,0.7225052074987981,,1.477777777777778,,65.7,
14,0,A_ingraph05,scale free,full,3,0.1,0.0,1.0,0.0,0.1182,0.9274,0.2097,1,1,0.3302,0.4649,0.5313,0.4959,0.3683,0.9387,0.5291,1,2,8,-0.0,0.2193,0.8642100545756815,0.517298115668012,3.022222222222222,0.1476472245703015,853.7,27.31952662721893
15,0,A_ingraph05,scale free,full,3,0.5,0.115,0.4055,0.1792,0.1304,0.9277,0.2286,1,1,0.5046,0.4986,0.548,0.5221,0.3869,0.9484,0.5496,2,5,11,0.2508,0.2508,0.8611419557132477,0.5119889923487843,3.333333333333333,0.1508523527754297,860.1,27.325443786982248
16,0,A_ingraph05,random graph,disc,2,0.1,0.3664,0.3693,0.3678,NA,NA,NA,1,1,0.9501,1.0,0.5903,0.7423,NA,NA,NA,10,NA,51,0.8782,NA,0.8834915997078159,,0.0,,7.4,
17,0,A_ingraph05,random graph,disc,2,0.5,0.4666,0.4694,0.468,NA,NA,NA,1,1,0.9481,1.0,0.5885,0.7409,NA,NA,NA,10,NA,52,0.8771,NA,0.8834915997078159,,0.0,,7.4,
18,0,A_ingraph05,random graph,disc,3,0.1,0.0436,0.0535,0.048,0.5213,0.6336,0.572,1,1,0.9833,0.9305,0.3609,0.5201,0.9459,0.7436,0.8326,8,56,434,0.8074,0.9528,0.8882627894927082,0.7061917870724527,0.0,0.0258805841924398,85.3,6.309278350515464
19,0,A_ingraph05,random graph,disc,3,0.5,0.0492,0.0951,0.0649,0.5584,0.6445,0.5983,1,1,0.9815,0.9318,0.3612,0.5206,0.9462,0.7435,0.8326,7,57,437,0.6596,0.9489,0.8869750000338806,0.7011164401847998,0.0,0.026524914089347,85.9,6.309278350515464
20,0,A_ingraph05,random graph,full,2,0.1,0.3213,0.3669,0.3426,NA,NA,NA,1,1,0.1743,0.7444,0.5203,0.6125,NA,NA,NA,10,NA,41,0.252,NA,0.4255214533409244,,0.7222222222222222,,7.4,
21,0,A_ingraph05,random graph,full,2,0.5,0.3636,0.4158,0.3879,NA,NA,NA,1,1,0.197,0.7103,0.5048,0.5901,NA,NA,NA,9,NA,40,0.2825,NA,0.4270373871035496,,0.7111111111111111,,7.4,
22,0,A_ingraph05,random graph,full,3,0.1,0.0478,0.1374,0.0709,0.5633,0.638,0.5983,1,1,0.5474,0.8641,0.3468,0.4949,0.9016,0.7333,0.8088,5,80,420,0.5115,0.5843,0.8040319072962436,0.6454068653296586,0.8888888888888888,0.0342568728522336,85.1,6.309278350515464
23,0,A_ingraph05,random graph,full,3,0.5,0.0403,0.0739,0.0522,0.5711,0.6439,0.6053,1,1,0.7529,0.8881,0.3522,0.5043,0.9196,0.7391,0.8195,9,80,426,0.6024,0.7816,0.818756464572681,0.6488636961285605,0.7222222222222222,0.0337199312714776,86.0,6.298969072164948
0,1,A_ingraph05,small world,disc,2,0.1,0.9528,1.0,0.9758,NA,NA,NA,5,100,0.8867,1.0,1.0,1.0,NA,NA,NA,9,NA,10,-9.2582,NA,0.8963220116344528,,0.0,,29.2,
1,1,A_ingraph05,small world,disc,2,0.5,1.0,1.0,1.0,NA,NA,NA,5,100,0.8884,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.2348,NA,0.8963220116344528,,0.0,,29.2,
2,1,A_ingraph05,small world,disc,3,0.1,0.5844,0.6164,0.6,0.7278,0.909,0.8083,5,100,0.8828,0.6764,0.6242,0.6492,0.4946,0.9841,0.6584,9,95,18,0.3655,-0.6128,0.8974665600000034,0.7137938200000006,0.0,0.0686496601989559,500.0,25.216783216783217
3,1,A_ingraph05,small world,disc,3,0.5,0.5415,0.5899,0.5647,0.7253,0.8921,0.8001,5,100,0.8823,0.6766,0.6231,0.6488,0.4953,0.9835,0.6588,9,88,19,0.3466,-0.6025,0.8974678655433584,0.7185351141051546,0.0,0.0670737712991234,497.0,25.23076923076923
4,1,A_ingraph05,small world,full,2,0.1,0.8851,0.9066,0.8957,NA,NA,NA,5,100,0.4862,0.9137,0.9565,0.9346,NA,NA,NA,10,NA,9,-9.51,NA,0.6480594233450742,,1.0777777777777775,,29.2,
5,1,A_ingraph05,small world,full,2,0.5,0.8979,0.8975,0.8977,NA,NA,NA,5,100,0.4275,0.9319,0.9758,0.9533,NA,NA,NA,10,NA,9,-9.5167,NA,0.6675357314415801,,0.9666666666666668,,29.2,
6,1,A_ingraph05,small world,full,3,0.1,0.5594,0.5605,0.5599,0.6721,0.8556,0.7528,5,100,0.8153,0.5823,0.5761,0.5791,0.4598,0.9809,0.6261,10,93,13,0.333,-0.6783,0.8538932398002711,0.6864461774267521,2.522222222222222,0.0784497192947897,497.8,25.25874125874126
7,1,A_ingraph05,small world,full,3,0.5,0.5563,0.5543,0.5553,0.6939,0.8564,0.7666,5,100,0.8491,0.5825,0.5773,0.5799,0.4586,0.98,0.6248,10,100,13,0.3378,-0.6853,0.8529440407568846,0.6904505705808073,2.555555555555556,0.0768738303949571,493.8,25.223776223776223
8,1,A_ingraph05,scale free,disc,2,0.1,1.0,1.0,1.0,NA,NA,NA,5,100,0.8856,1.0,1.0,1.0,NA,NA,NA,10,NA,10,-9.2653,NA,0.8888703553118391,,0.0,,65.7,
